Data_Hora,Precipitacao_mm,Temperatura_Maxima_C,Temperatura_Minima_C,Umidade_Relativa_Media_pct,Vento_Rajada_Maxima_ms,Inundacao_Alagamento,Deslizamento,Chuvas_Intensas
2023-01-01,6.6000000000000005,28.6,23.0,,9.9,0,1,0
2023-01-02,0.0,28.4,24.3,,9.5,0,0,0
2023-01-03,2.8,29.5,24.6,,9.2,0,0,0
2023-01-04,2.4,29.0,24.5,45.0,8.3,0,0,0
2023-01-05,0.0,30.1,25.0,,9.6,0,0,0
2023-01-06,0.0,29.7,24.8,,9.6,0,0,0
2023-01-07,0.0,30.0,25.0,,9.0,0,0,0
2023-01-08,0.0,29.9,24.8,,8.0,0,0,0
2023-01-09,0.0,29.7,24.5,,7.7,0,0,0
2023-01-10,0.0,30.0,24.9,,9.4,0,0,0
2023-01-11,5.8,29.8,23.1,,10.3,0,0,0
2023-01-12,0.0,29.7,25.1,,8.9,0,0,0
2023-01-13,0.0,30.2,25.4,,8.1,0,0,0
2023-01-14,0.8,30.2,23.7,,8.4,0,0,0
2023-01-15,7.2,30.2,23.1,57.0,8.9,0,0,0
2023-01-16,0.8,29.6,24.2,,9.0,0,0,0
2023-01-17,3.6,29.8,24.9,,8.2,0,0,0
2023-01-18,0.0,30.2,24.9,,8.4,0,0,0
2023-01-19,0.0,29.8,26.1,,7.3,0,0,0
2023-01-20,0.0,29.9,24.7,,8.0,0,0,0
2023-01-21,0.0,29.9,24.9,,8.5,0,0,0
2023-01-22,0.0,29.9,24.4,,8.3,0,0,0
2023-01-23,0.0,30.8,25.7,78.0,7.4,0,0,0
2023-01-24,0.0,30.2,24.7,58.5,8.7,0,0,0
2023-01-25,0.0,30.4,25.7,,8.8,0,0,0
2023-01-26,0.0,29.8,24.3,,8.9,0,0,0
2023-01-27,0.0,30.4,25.9,40.0,9.1,0,0,0
2023-01-28,0.0,30.4,26.2,36.0,8.1,0,0,0
2023-01-29,0.0,31.0,24.8,,9.0,0,0,0
2023-01-30,0.6000000000000001,30.0,23.1,,9.5,0,0,0
